,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
ADAMTSL4,-1.13,-0.1,0.11,-0.25,0.15,0.17,-0.14,-1.08,0.13,-0.81,0.46,0.1,-0.43,0.18,-0.02,-0.66,-0.26,0.18,1.29
ADAMTSL5,0.87,1.37,-0.16,0.68,0.22,0.92,0.42,0.73,0.47,0.85,-0.12,1.45,-0.19,0.99,0.42,0.97,0.63,0.76,0.96
ADAP1,-0.1,-0.01,0.3,-0.03,0.23,0.04,-0.01,-0.07,0.01,-0.09,0.27,0.28,0.18,-0.19,0.1,0.01,0.15,-0.32,0.35
ADAR,-0.06,-0.18,-0.15,0.05,0.19,-0.06,-0.05,-0.13,-0.08,-0.05,-0.09,0.38,-0.15,-0.16,-0.05,0.02,-0.07,-0.06,0.33
ADARB1,-0.31,-0.29,-0.12,NA,0.17,NA,NA,NA,-0.22,-0.39,0,0.1,-0.39,-0.08,0.13,NA,0.22,NA,0.35
ADAT3,-0.18,-0.14,0.25,-0.05,0.65,0.08,0.15,-0.4,-0.07,-0.2,-0.08,0.07,0.12,-0.05,-0.03,-0.27,-0.02,-0.08,0.25
ADCK1,0.19,0.37,0.71,0.31,-0.1,0.23,0.02,0.84,0.37,0.12,-0.06,-0.54,0.53,0.21,0.25,0.48,0.56,0.03,-0.13
ADCK5,-0.76,0.45,0.25,0.05,-0.41,0.56,0.17,0.62,-0.96,-0.44,-0.12,NA,0.08,0.16,NA,0.12,0.08,0.27,-0.44
ADCY5,-0.05,-0.73,-1.29,-0.39,NA,0.2,0.12,-0.19,0.12,0.05,0.03,0.48,-0.81,-0.21,0.85,0.16,NA,0.22,-0.16
ADCY9,0.88,0.56,-0.13,-0.01,NA,NA,NA,0.62,0.6,0.63,-0.14,-0.28,-0.11,0.15,-0.35,0.21,NA,NA,-1.02
ADD1,0.59,0.59,0.45,0.3,-0.34,0.23,0.4,0.49,0.19,0.36,0.06,-0.01,0.49,0.19,0.15,0.54,0.44,0.41,-0.01
ADD2,-1.17,-1.01,-0.38,-1.33,-0.57,-0.53,-0.53,-0.5,-0.53,-0.65,-0.48,-0.29,-0.87,-0.35,-0.23,-0.93,-0.53,-0.55,0.17
ADD3,0.66,0.81,0.56,0.39,-0.28,0.25,0.56,0.55,0.31,0.5,0.25,-0.06,0.65,0.3,0.18,0.55,0.57,0.6,-0.1
ADGRA2,0.51,-0.39,0.5,NA,NA,-0.22,-0.41,NA,0.44,0.83,-0.05,NA,0.44,-0.04,NA,NA,NA,-0.31,1.05
ADGRE5,-0.52,-0.71,-0.36,-0.06,0.43,-0.36,-0.42,-1.09,-0.17,-0.17,0.25,0.87,-0.57,-0.04,-0.07,-0.52,-0.24,-0.48,0.98
ADGRF1,-0.24,0.16,0.28,-0.11,0.54,0.52,0.78,0.24,0.31,0.1,0.73,0.45,0.52,-0.02,0.73,-0.05,-0.16,-0.04,0.24
ADGRF5,0.21,0.18,0.04,0.2,-0.54,-0.44,-0.13,0.4,-0.26,-0.09,-0.02,-0.01,-0.19,-0.23,-0.07,-0.05,-0.33,0.07,-0.2
ADGRG1,-0.23,0.46,0.54,-0.11,0.47,0,-0.25,-0.29,0.27,-0.08,0.14,-0.06,0.32,0.02,0.26,0.26,0.41,0.12,-0.22
ADGRG6,-0.1,NA,-0.1,-0.27,-0.06,-0.54,-0.68,-0.23,0.3,0.08,0.16,-0.07,-0.48,NA,-0.14,-0.49,-0.37,-0.65,NA
ADGRL2,-0.08,-0.58,-0.17,0.01,-0.35,-0.03,-0.18,0.02,-0.25,0.12,-0.34,0.07,-0.18,-0.54,0.1,-0.16,-0.23,-0.22,-0.4
ADGRL4,NA,-0.72,0.1,-0.37,-0.19,-0.49,-0.31,-0.68,NA,NA,-0.13,NA,-0.7,-0.4,NA,-0.66,-0.96,-0.65,-0.03
ADH1B,0.04,-0.07,0.13,0.53,0.54,0.45,0.81,-0.22,0.42,1.13,1.33,1.39,0.22,1,1.18,0.59,-0.11,0.35,1.48
ADH1C,0.53,0.05,1.33,0.51,-0.45,1.67,0.61,-0.21,1,1.3,1.37,0.55,1.36,0.15,1.11,1.1,1.1,0.18,1.01
ADH4,NA,NA,NA,NA,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,NA,NA
ADH5,0.55,0.44,0.59,0.17,-0.13,0.35,0.44,0.47,0.32,0.48,0.06,-0.32,0.35,0.25,-0.18,0.52,0.36,0.39,-0.34
ADH6,1.26,1.4,1.24,0.59,-0.32,1.77,0.96,1.39,0.82,1.31,0.31,-1.35,1.07,0.95,-0.65,1.15,1.34,1.44,-1.5
ADHFE1,1.3,0.21,0.34,0.22,-0.32,1.33,0.89,0.71,0.23,-0.19,-0.01,-1.32,0.8,0.99,0.81,1.03,0.85,0.18,-0.82
ADI1,0.7,0.56,0.17,0.28,-0.5,0.7,0.32,0.53,0.03,0.03,0.03,-0.27,0.25,0.32,-0.67,0.36,0.64,0.67,-0.47
ADIPOQ,-0.54,-0.86,-0.5,-0.55,-0.39,-0.42,-0.49,-0.31,-0.36,-0.55,-0.05,-0.52,-0.37,-0.8,-0.53,-0.68,-0.67,-0.22,-0.25
ADIPOR1,0.62,0.39,0.55,NA,0.05,0.76,-0.24,NA,0.43,0.33,-0.11,-0.23,0.12,0.67,0.23,NA,0.26,0.81,-0.01
ADIRF,0.43,-0.03,-0.15,-0.2,-0.92,0.37,-0.44,-0.21,-0.72,-0.23,0.18,0.36,0.23,0.05,-0.6,-0.34,-0.26,0.43,-0.63
ADISSP,-0.88,NA,-0.3,-0.03,-0.11,0.09,0.09,-1.09,-0.61,-0.59,-0.29,0.45,-0.09,NA,-0.08,-0.38,-0.47,0.04,NA
ADK,0.22,0,0.21,0.12,0.34,0.24,0.14,0.12,0.06,0.1,0.24,0.1,0.29,0.19,0.34,0.46,0.25,0.23,0.18
ADNP,-0.24,-0.06,0.02,0.05,0.27,-0.23,-0.06,-0.14,-0.02,0.03,0.22,0.37,-0.06,-0.03,0.13,-0.01,-0.1,-0.17,0.17
ADO,0.25,-0.08,-0.35,-0.05,-0.05,0.03,0.11,0.04,0.24,0.08,0.08,0.2,-0.15,-0.03,0.29,0.04,0.04,0.04,-0.04
ADPGK,0.15,-0.42,-0.04,-0.17,0.14,-0.38,-0.31,-0.02,-0.32,-0.04,-0.47,0.13,-0.18,-0.31,-0.35,-0.29,-0.46,-0.31,0.17
ADPRH,-0.7,-0.57,-0.7,-0.31,0.28,-0.55,-0.31,-0.61,-0.73,-0.29,-0.31,-0.12,-0.36,-0.41,0.05,-0.41,-0.44,-0.87,0.06
ADPRS,-0.25,-0.47,-0.49,-0.33,-0.33,-0.36,-0.3,-0.4,-0.33,-0.41,-0.51,-0.4,-0.6,-0.46,-0.28,-0.36,-0.56,-0.3,-0.48
ADRM1,0.18,0.04,-0.06,0.35,0.17,0.12,0.16,0.23,0.07,0,0.29,0.02,0.09,0.04,0,0.18,-0.09,0.28,0.01
ADSL,-0.13,-0.25,-0.14,-0.1,-0.22,-0.2,-0.06,-0.13,-0.2,-0.15,-0.19,-0.42,-0.18,-0.02,-0.5,-0.03,-0.25,-0.14,-0.22
ADSS1,-0.58,-0.05,-0.28,-0.93,-2.81,-0.05,-0.51,0,-1.19,-0.68,-1.51,-2.75,-0.17,-1,-2.17,-0.79,-0.78,-0.24,-2.45
ADSS2,0.01,0.12,-0.02,-0.19,0.12,0.06,0.11,0.07,0.08,0.03,-0.14,-0.05,0.1,0.12,0.22,0.13,-0.06,0.05,0.2
AEBP1,-0.7,-0.52,-0.31,-0.12,0.03,-0.32,-0.44,-0.32,-0.49,-0.23,-0.32,0.01,-0.77,-0.23,-0.32,-0.47,-0.44,-0.2,0.26
AFAP1,-0.73,-0.07,-0.21,0.59,0.26,-0.09,0.08,0.14,-0.53,-0.18,-0.02,0.49,-0.43,0.4,-0.02,0.12,-0.21,0.51,1.12
AFAP1L1,-0.38,-0.54,-0.38,-0.25,0.9,-0.78,-0.6,-0.21,-0.13,-0.54,-0.3,-0.67,-0.14,-0.23,-0.46,-0.33,0.19,-1.01,0.17
AFAP1L2,0.32,0.31,0.22,-0.04,0.36,0.55,0.37,-0.42,0.17,0.42,0.8,0.6,0.17,-0.02,1.36,0.2,-0.01,0.4,0.67
AFDN,0.12,0.19,0.18,0.08,-0.09,0.16,0.17,0.15,0.05,-0.02,0.06,0,0.15,0.06,0.22,0.18,0.01,0.24,-0.13
AFF1,0.94,0.72,0.5,0.7,1.91,0.92,1.32,0.65,0.42,0.57,0.44,0.48,0.57,0.53,0.6,0.85,1.28,1.24,0.86
AFF4,-0.34,1.06,0.24,-0.01,4.63,-0.14,0.08,-0.32,0.02,0.02,0.23,1.83,0.33,1.02,1.91,0.05,3.54,0.08,1.18
AFG1L,0.83,0.67,0.37,0.39,-0.21,0.58,0.49,0.91,0.8,0.32,0.29,-0.91,0.54,0.56,0.46,0.71,0.46,0.73,-0.74
AFG2A,0.1,0.07,-0.02,-0.04,-0.01,0.01,-0.03,0.01,0.15,-0.1,0.12,0,0.03,-0.07,-0.15,-0.1,-0.03,0.06,-0.14
AFG2B,0.06,0.09,-0.15,-0.11,-0.15,0,0.02,0.02,0.15,-0.1,-0.18,-0.13,-0.13,-0.06,-0.32,-0.18,-0.14,-0.17,-0.1
AFG3L2,0.69,0.71,0.36,0.33,0.12,0.58,0.39,0.8,0.5,0.36,0.18,-0.66,0.66,0.5,0.37,0.42,0.51,0.53,-0.56
AFM,-0.83,-0.39,-0.36,-0.13,-0.08,0.11,0.18,-0.15,-0.22,0.24,0.09,0,0.46,-0.38,-0.47,-0.42,0.58,-0.35,-0.07
AFMID,1.23,1.21,0.19,0.57,-0.64,0.71,0.59,0.81,0.35,0.31,0.3,-1.24,0.91,0.94,-0.11,0.88,0.68,1.05,-1.25
AFTPH,0.32,0.15,0.11,0.02,-0.21,0.32,0.33,0.44,0.17,0.04,0,-0.21,0.24,-0.01,-0.11,0.31,0.1,0.52,-0.59
AGA,-0.08,-0.22,-0.14,-0.11,0.02,-0.17,-0.35,-0.22,-0.11,0.19,-0.12,-0.5,-0.31,-0.17,-0.16,-0.26,0.07,-0.14,-0.49
AGAP1,0.21,0.83,-0.05,0.07,0.08,0.22,0.27,0.58,0.41,0.17,-0.04,-0.29,-0.2,0.6,0.21,-0.19,0.52,0.47,0.16
AGAP3,0.05,-0.13,-0.26,-0.23,-0.35,-0.2,-0.33,-0.09,-0.02,0.04,-0.13,0.3,-0.25,0.07,-0.06,-0.34,-0.53,-0.38,0.22
AGFG1,0,-0.04,0.06,0.14,0.08,0.09,0.14,0.05,0.02,0.05,0.1,0.05,-0.02,-0.11,0.11,-0.02,-0.18,0.24,0.13
AGFG2,0.08,0.18,0.21,0.54,0.25,0.15,0.32,0.16,-0.08,-0.1,0.3,0.6,0.13,0.13,1.66,0.22,0.13,0.17,0.4
AGK,0.56,0.72,0.46,0.19,-0.09,0.5,0.22,0.61,0.37,0.28,-0.14,-0.31,0.56,0.42,0.12,0.32,0.4,0.55,-0.29
AGL,-0.21,-0.34,-0.1,-0.42,-0.57,-0.13,-0.17,-0.14,-0.04,-0.29,-0.33,-0.58,-0.28,-0.62,-0.29,-0.19,-0.35,-0.2,-0.56
AGMAT,1.17,1.04,1.12,0.65,-0.41,1.29,0.91,1.34,0.79,0.95,0.15,-2.35,1.69,0.77,-0.43,0.77,1.32,1.14,-1.69
AGO1,-0.04,-0.14,-0.27,0.11,-0.06,0.07,0.06,0.05,-0.13,0.26,-0.07,0.32,-0.21,0,-0.01,0.13,-0.19,-0.06,0.4
AGO2,-0.33,-0.34,-0.25,-0.29,0.03,-0.39,-0.29,-0.38,-0.38,-0.27,-0.07,0.07,-0.35,-0.13,-0.25,-0.25,-0.24,-0.27,0.39
AGO3,0.16,0.04,0.02,0.18,0.16,0.02,0.02,0.05,-0.03,0.19,-0.01,0.44,-0.11,0.14,0.08,0.24,0,0.02,0.29
AGPAT1,0.64,0.22,0.44,0.32,-0.07,0.65,0.17,0.57,0.21,0.26,-0.03,-0.35,0.69,0.29,0.12,0.38,0.46,0.45,0
AGPAT2,0.31,-0.09,NA,-0.16,0.31,0.22,0.12,0.05,0.17,-0.13,NA,0.44,NA,0.13,0.41,0.39,-0.2,0.01,0.25
AGPAT3,1.37,1.24,1.57,1.12,0.09,1.24,0.62,1.5,0.52,0.78,-0.15,-0.97,1.11,1.06,-0.64,0.94,1.56,1.03,-0.93
AGPAT5,0.54,0.49,0.57,0.38,-0.09,0.47,0.11,0.69,0.24,0.46,-0.15,-0.56,0.41,0.42,0.12,0.36,0.28,0.59,-0.37
AGPS,0.17,0.21,0.07,0.24,0.34,0.14,0.13,0.17,-0.12,-0.03,-0.01,-0.26,0.15,0.23,-0.21,0.28,0.29,0.23,-0.19
AGR2,1.02,-0.06,1.84,1.21,2.05,0.35,-0.3,-0.04,1.06,0.4,1.85,2.14,1.91,0.12,-0.21,0.26,2.82,-0.04,0.31
AGR3,NA,8.68,NA,1.08,0.12,0.51,0.14,-0.34,NA,NA,NA,NA,NA,9.5,NA,-0.04,-0.05,0.22,8.58
AGRN,-0.03,-0.05,-0.17,0.16,-0.03,-0.07,-0.01,-0.09,-0.13,-0.01,0.17,0.68,-0.05,-0.07,0.22,-0.08,-0.16,0.02,0.54
AGT,-0.51,0.43,-0.07,-0.55,0.01,0.41,-0.01,0.04,0.34,0.14,0.04,0.56,0.31,0.13,-0.46,-0.21,0.79,-0.45,0.25
AGTPBP1,0.01,0.37,NA,0.64,0.01,0.02,-0.14,0.62,0.05,0.09,NA,NA,NA,0.35,NA,0.61,-0.4,-0.27,0.51
AGXT,0.81,0.48,-0.25,-0.82,-0.02,2.34,0.73,1.34,-0.76,0.64,-0.98,NA,0.59,-0.03,NA,-0.45,-0.38,0.73,-1.61
AGXT2,-1.79,0.11,1.58,-0.02,-0.07,1.48,0.25,1.26,0.42,0.85,-0.28,-1.4,1.32,-0.27,-0.71,0.86,1.1,1.34,-2.4
AHCTF1,-0.09,-0.14,0.19,-0.06,-0.09,0,-0.03,-0.13,0.08,0.06,-0.07,0.27,0.14,0.08,-0.06,-0.14,-0.06,0.02,0.01
AHCY,0.7,0.73,0.28,-0.05,-0.32,0.64,0.38,0.85,0.36,0.46,0.01,-0.58,0.5,0.53,-0.1,0.67,0.53,0.79,-0.72
AHCYL1,0.31,0.12,0.17,0.04,-0.15,0.06,0.35,0.14,0.06,0.14,0.11,-0.09,0.21,0.03,0.27,0.3,0.02,0.13,-0.21
AHCYL2,0.27,0.38,0.47,0.17,-0.2,0.03,0.06,0.37,0.29,0.04,0.28,-0.29,0.19,0.08,-0.07,0.44,0.3,0.16,-0.31
AHDC1,0.05,-0.18,-0.1,-0.28,0.42,0.15,-0.03,-0.78,0.31,0.7,0.15,0.74,0.14,-0.13,0.26,-0.71,0.2,0,0.01
AHNAK,-0.64,-0.7,-0.47,-0.32,-0.2,-0.54,-0.45,-0.81,-0.49,-0.33,-0.08,0.39,-0.59,-0.44,0.04,-0.62,-0.62,-0.59,0.25
AHNAK2,-1.49,-1.09,-1.33,-1.22,-1.58,-1.64,-1.86,-1.59,-1.32,-1.32,-1.1,-0.59,-1.47,-1.08,-0.95,-1.54,-1.49,-1.74,-1.07
AHR,-0.57,-0.77,-0.3,-0.87,-0.62,-0.79,-0.74,-1.04,-0.78,-0.35,-0.71,0.5,-0.75,-0.22,-0.1,-1.26,-1.07,-0.93,0.51
AHSA1,0.17,0.28,-0.04,0.19,-0.05,0.2,0.16,0.18,-0.01,-0.04,0.01,-0.05,0.23,-0.03,-0.04,0.14,0.1,0.11,0.04
AHSG,-0.85,-0.28,-0.53,-0.14,-0.16,0.04,-0.06,-0.1,0.23,-0.02,0.18,-0.06,0.27,-0.05,-0.49,-0.64,0.2,-0.44,-0.15
AHSP,-2.7,-0.8,-0.12,-1.4,-1.02,-0.83,-0.47,-0.22,-1.39,-1.66,-0.29,-1.65,-1.54,-0.09,-2.05,-0.8,-0.71,-2.07,0.51
AIDA,-0.33,-0.38,-0.33,-0.21,-0.28,-0.52,-0.38,-0.61,-0.28,-0.43,-0.05,0.13,-0.36,-0.21,-0.02,-0.44,-0.49,-0.34,0.36
AIF1,-0.5,-0.54,-0.57,-0.14,-0.06,-0.38,-0.35,-0.75,-0.75,-0.57,-0.51,0.49,-0.83,-0.74,-0.78,-0.27,-0.68,-0.45,0.53
AIF1L,0.63,0.55,0.3,0.07,0.26,0.59,1.16,0.47,0.53,0.22,0.63,0.52,0.38,0.49,1.75,0.97,0.32,0.56,0.57
AIFM1,0.77,0.58,0.45,0.47,-0.23,1.01,0.41,0.81,0.49,0.43,-0.02,-0.8,0.58,0.29,-0.01,0.6,0.82,0.74,-0.8
AIFM2,-0.37,-0.2,-0.25,-0.28,-0.53,-0.4,-0.4,-0.49,-0.47,-0.25,-0.47,-0.82,-0.25,-0.29,-0.61,-0.45,-0.2,-0.48,-0.68
AIG1,NA,0.52,0.45,0.1,-0.04,1.73,1.83,-0.07,NA,NA,-0.22,-0.82,0.58,0.73,0.16,-0.18,0.53,1.43,-0.53
AIMP1,0.09,0.21,0.01,0.16,0.4,-0.05,0.07,0.09,0.05,-0.04,0.14,0,0.01,0.02,0.05,0.19,0.01,0.18,0.03
AIMP2,0.08,0.19,0.05,0.17,0.36,0,0.32,0.05,0.13,0.13,0.09,0.19,0.05,0.14,0.24,0.25,0.07,0.14,0.1
AIP,-0.09,0.1,0,0.12,0.04,-0.17,0.07,-0.07,0.02,-0.14,0.08,0.5,-0.15,-0.04,0.29,-0.18,-0.18,0.06,0.32
AIRIM,0.07,0.28,0.27,-0.17,0.09,0.17,-0.03,0.2,0.12,-1.08,0.33,-0.08,0.38,0.5,-0.53,-0.38,0.02,0.23,0.16
AK1,-0.02,-0.25,-0.2,0.02,0.5,0,0.18,0.03,0.08,0.01,0.11,0.17,-0.45,0.12,0.27,0.2,-0.04,-0.1,0.04
AK2,0.6,0.5,0.5,0.15,-0.41,0.71,0.2,0.63,0.52,0.26,0.11,-0.79,0.42,0.35,-0.01,0.3,0.27,0.7,-0.79
AK3,0.53,0.69,0.54,0.23,0.11,0.28,0.24,0.68,0.81,0.12,0.38,-0.33,0.86,0.58,0.11,0.58,0.24,0.51,-0.38
AK4,1.12,0.82,0.72,0.48,-0.45,0.88,0.68,1.16,0.59,0.87,-0.05,-1.69,0.7,0.58,-0.18,0.54,0.74,1.05,-1.67
AK6,-0.48,-0.11,-0.26,NA,-0.5,-0.61,-0.35,NA,-0.47,-0.32,-0.51,-0.43,-0.49,-0.43,-0.29,NA,-0.43,-0.5,-0.94
AKAP1,0.3,0.2,0.07,-0.02,-0.28,0.15,0.32,0.44,0.1,0.2,0,-0.07,0.1,0.08,0.11,0.16,-0.04,0.29,-0.57
AKAP10,0.08,0.05,-0.06,-0.04,-0.4,-0.04,0.14,0.15,-0.08,-0.08,0.01,-0.2,0.11,0.03,0.22,0.09,-0.38,0.1,-0.07
AKAP11,-0.01,-0.09,-0.08,0.23,-0.22,0.02,-0.27,0.05,0.13,-0.04,0.19,0.31,0.04,-0.07,0.05,0.19,-0.09,0.05,-0.14
AKAP12,-0.43,-0.75,-0.52,0.08,0.15,-0.66,-0.25,-0.53,-0.43,-0.38,-0.08,0.77,-0.51,-0.19,0.04,-0.42,-0.67,-0.27,0.71
AKAP13,-0.35,-0.37,-0.31,-0.1,0.11,-0.41,-0.32,-0.35,-0.14,-0.12,-0.15,0.25,-0.35,-0.17,-0.24,-0.39,-0.3,-0.21,0.16
AKAP17A,0.28,0.22,0.31,0.71,0.56,0.53,0.24,0.79,0.3,0.14,0.18,0.53,0.56,0.25,0.29,0.96,0.21,0.14,0.7
AKAP7,0.06,1.12,1.68,1.24,-0.02,0.24,0.18,1.23,0.03,0.04,1.63,-0.05,3.19,0.85,-0.33,1.79,0.08,0.61,0.93
AKAP8,0.11,0.28,-0.09,-0.22,0.08,-0.08,0.02,-0.21,-0.25,-0.12,0.08,-0.17,-0.08,0.07,0.02,-0.29,-0.05,0.05,-0.03
AKAP8L,-0.02,0.16,0.17,0.21,0.27,0.07,0.29,0.13,-0.01,0.01,0.47,0.54,0.15,0.05,0.58,0.21,-0.02,0.18,0.48
AKAP9,-0.07,0.02,0.02,-0.18,-0.14,-0.03,0.04,-0.01,0.04,-0.02,0.08,-0.06,-0.01,0.08,0.31,0.01,-0.09,-0.06,-0.04
AKR1A1,0.71,0.33,0.64,0.46,-0.14,0.07,0.53,0.82,0.53,-0.06,0.17,-0.53,0.53,0.25,-0.46,0.67,0.84,0.72,-0.92
AKR1B1,-1.45,-1.43,-1.29,-1.44,-1.17,-1.48,-0.88,-1.87,-1.33,-1.09,-0.85,-1.04,-1.24,-1.49,1.72,-1.24,-1.49,-1.57,-0.59
AKR1B10,-0.54,0.22,-0.4,-0.64,-1.93,-1.84,-1.04,-1.01,-0.91,-0.95,-0.49,-0.99,-1.22,-1.28,-3.71,-1.82,-2.01,-0.58,-3.42
AKR1C1,0.44,0.3,0.24,-0.42,-0.01,0.07,0.1,-0.34,0.36,0.16,0.71,1.63,0.71,-0.16,1.55,0.05,-0.24,0.46,0.03
AKR1C2,-0.39,-0.29,-0.38,-0.08,-0.14,-0.19,-0.27,-0.25,-0.68,0.31,0.1,0.04,-0.05,-0.41,2.01,-0.32,-0.28,-0.77,0.16
AKR1C3,0.22,0.16,0.01,0.1,-0.46,0.38,0.1,0.15,-0.08,0.24,-0.33,-0.79,0,-0.1,-0.58,-0.01,0.32,0.07,-1.26
AKR7A2,0.54,0.35,0.37,0.19,-0.17,0.65,0.4,0.54,0.35,0.33,0.15,-0.32,0.26,0.26,0.04,0.19,0.38,0.69,-0.54
AKR7A3,1.06,0.66,0.78,0.54,0.09,0.94,0.65,1.1,0.74,0.46,0.49,-1.05,0.62,0.65,-0.01,0.42,0.92,0.91,-1.14
AKT1,-0.25,-0.12,-0.27,0.13,0.19,-0.32,-0.03,-0.04,-0.26,-0.07,0.04,0.4,-0.25,-0.14,0.08,0.09,-0.18,-0.11,0.26
AKT1S1,-0.09,-0.25,-0.41,-0.24,-0.44,-0.28,-0.28,-0.12,-0.17,-0.12,-0.03,-0.42,-0.24,-0.27,-0.22,-0.23,-0.47,-0.35,-0.38
AKT2,-0.2,0.14,0.16,0.16,0.02,-0.1,-0.26,0.3,-0.2,-0.22,0.07,-0.02,0.18,0.06,0.13,0.26,0.05,-0.01,-0.01
AKT3,-0.62,-0.39,-0.38,-0.05,0.18,-0.31,-0.16,-0.11,-0.79,-0.4,0,0.3,-0.53,-0.31,0.21,-0.02,-0.19,-0.18,0.39
AKTIP,0,0.02,-0.28,-0.15,-0.43,0.01,0,0.02,0.06,0.01,-0.12,-0.34,-0.05,-0.04,-0.18,0.07,-0.1,-0.1,-0.26
ALAD,0.39,0.57,0.26,0.33,-0.43,0.83,0.79,0.79,0.4,0.7,-0.01,-0.47,0.55,0.3,-0.22,0.83,0.69,0.84,-0.42
ALAS1,0.32,0.8,0.7,0.65,0.17,1.53,0.56,0.5,0.63,0.15,0.23,0.11,0.54,0.5,0.02,0.41,0.02,1.51,-0.58
ALB,-0.8,-0.68,-0.43,-0.35,-0.17,0.04,-0.18,-0.25,0.08,0.21,-0.06,0.19,-0.08,0.02,-0.38,-0.8,0.34,-0.75,-0.12
ALCAM,0.66,0.7,0.84,0.73,-0.01,0.69,0.25,0.75,0.22,0.31,-0.31,0.09,0.55,0.09,-0.34,0.71,0.61,0.8,-0.27
ALDH16A1,-0.02,0.13,-0.02,0.1,0.13,0.01,-0.2,-0.31,0.09,0.09,0.05,0.2,0.05,0,0.06,0.19,0.21,0.19,0
ALDH18A1,0.05,-0.02,0.02,-0.13,-0.27,0.16,-0.06,-0.22,0.27,-0.07,-0.2,-0.62,-0.05,-0.17,-0.27,-0.15,-0.08,-0.05,-0.4
ALDH1A1,-0.19,-0.42,-0.29,-0.49,-0.75,-0.34,-0.2,-0.27,-0.33,-0.37,-0.3,-0.96,-0.45,-0.31,-0.56,-0.46,-0.54,-0.36,-0.86
ALDH1A2,0.21,-0.21,0.18,-0.01,0.39,0.43,0.65,0.09,0.25,0.62,1.07,0.76,0.34,0.18,0.29,0.37,-0.02,0.2,0.47
ALDH1A3,-0.86,-0.4,-0.42,-0.34,0.9,-0.62,-0.64,-1,-0.78,-0.36,0.13,-0.01,-0.83,0.48,1.89,-0.58,-0.65,-0.18,0.69
ALDH1B1,1.42,1.45,0.91,-0.6,-0.8,0.87,1.28,1.06,1.18,0.14,-0.41,-1.31,1.21,0.06,-0.42,0.5,0.96,1.59,-0.91
ALDH1L1,0.69,0.79,0.62,0.38,-0.54,1.1,0.75,1.05,0.49,0.48,0.18,-0.97,0.74,0.58,-0.33,0.71,0.51,0.84,-1.1
ALDH1L2,-0.94,-0.35,-0.13,-0.97,0.09,-0.6,-0.31,-0.84,-0.29,-0.54,-0.21,0.29,-0.32,0,-0.19,-1.38,-0.25,-0.15,-0.36
ALDH2,0.93,0.98,0.89,0.22,-0.84,1.11,0.74,0.93,0.68,0.59,-0.72,-1.15,0.84,0.55,-0.08,0.52,1.01,1.02,-1.02
ALDH3A2,1.1,0.98,0.89,0.66,-0.25,1.1,0.62,1.07,0.34,0.69,-0.02,-0.82,0.75,0.72,-0.16,0.61,0.79,0.7,-0.7
ALDH3B1,0.3,0.14,-0.08,-0.05,0.44,0.09,-0.42,0.37,-0.18,0.41,-0.53,-0.01,0.02,0.33,-0.36,0.2,0.4,-0.24,0.14
ALDH4A1,0.95,0.92,1.19,0.46,-0.77,1.31,0.61,1.2,0.63,0.69,-0.06,-1.36,1,0.43,-0.07,0.65,0.76,0.98,-0.96
ALDH5A1,0.53,0.72,0.55,0.18,-0.37,0.83,0.61,0.84,0.85,0.63,0.06,-1.09,0.82,0.4,0.08,0.54,0.8,0.47,-0.93
ALDH6A1,1.16,1.01,0.86,0.47,-0.52,1.22,0.77,1.25,0.77,0.86,0.22,-1.56,0.98,0.7,0.08,0.67,0.95,1.04,-1.37
ALDH7A1,0.95,0.87,0.47,0.14,-0.6,1.24,0.8,0.83,0.75,0.61,0.01,-1.09,0.69,0.69,-0.31,0.38,0.79,0.95,-0.89
ALDH8A1,1.08,1.06,0.73,0.38,-0.02,0.83,0.64,0.81,0.74,0.75,0.17,-0.85,0.96,0.74,-0.23,0.74,0.89,0.88,-1.14
ALDH9A1,0.6,0.57,0.46,0.15,-0.2,0.74,0.35,0.73,0.43,0.44,0.15,-0.44,0.68,0.42,-0.1,0.48,0.78,0.54,-0.65
ALDOA,-0.7,-0.71,-0.68,-0.72,-0.57,-0.65,-0.55,-0.74,-0.47,-0.5,-0.45,-0.45,-0.73,-0.47,-0.21,-0.71,-0.57,-0.8,-0.42
ALDOB,1.12,1.24,1.25,0.77,-1.5,1.17,0.88,1.1,0.81,0.88,0.38,-1.49,1.09,0.64,-0.42,0.99,1.18,1.11,-1.63
ALDOC,-1.32,-1.27,-1.39,-1.22,-1.23,-1.23,-1.12,-1.43,-1.05,-1.15,-1.06,-0.87,-1.32,-0.96,-0.66,-1.41,-1.38,-1.35,-0.89
ALG1,0,0.23,0.35,0.27,0.18,0.32,0.12,0.17,-0.15,-0.16,-0.26,-0.22,0.16,0.23,-0.03,0.38,0.07,0.18,-0.33
ALG11,0.03,0.41,0.6,0.29,0.17,0.46,0.34,0.46,-0.19,0.06,0.06,-0.14,0.55,0.3,0.34,0.58,0.25,0.45,0.13
