"","","","AP-SS2L","AP-94ED","AP-9D3B","AP-UG7J","AP-5MX6","AP-7KJ6","AP-KGMR","AP-RBLG","AP-YF3B","AP-QAHT","AP-HFEA","AP-G79N","AP-U8MP","AP-MAZ4","AP-ZLDH","AP-2XNK","AP-VLXG","AP-MJ52","AP-JKPX","AP-WTXJ","AP-HMFR","AP-SJVE","AP-AGZG","AP-5JDU","AP-FX68","AP-LWHD","AP-RA2G","AP-CT3G","AP-52RG","AP-B2SL","AP-EZEX","AP-TBFQ","AP-352Q","AP-DN2V","AP-YTZ8","AP-5L2V","AP-9UHJ","AP-E98M","AP-KX5B","AP-V6UJ","AP-KXUT","AP-DM87","AP-WDKZ","AP-N8FG","AP-AJWE","AP-DT88","AP-6EWG","AP-8MWD","AP-W455","AP-D9X4","AP-4HAU","AP-9PXS","AP-A5NG","AP-D35H","AP-HKYN","AP-XSR5","AP-AAFC","AP-JDN4","AP-XVLY","AP-NMZS","AP-EFHT","AP-4M7L","AP-8PRJ","AP-4LRG","AP-3336","AP-K24D","AP-27JZ","AP-XCJX","AP-QUHC","AP-QD4Q","AP-62LT","AP-E7CU","AP-HML4","AP-DMUM","AP-RQNH","AP-EPNF","AP-B9CH","AP-67ZV","AP-JK59","AP-9LNA","AP-F595","AP-JBET","AP-3FY5","AP-MGNN","AP-WPAM","AP-2E8Q","AP-7GDN"
"NP_001005476.1:s314","PKP4 s314","PKP4","NaN","NaN","NaN","NaN","NaN","-0.53","NaN","NaN","NaN","-3.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.07","-0.76","NaN","NaN","NaN","NaN","NaN","NaN","-1.31","0.43","-0.68","NaN","0.06","NaN","NaN","NaN","NaN","NaN","0.47","NaN","NaN","NaN","NaN","NaN","0.71","0.53","NaN","NaN","NaN","NaN","NaN","1.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","-1.81","0.83","NaN","NaN","NaN","-1.11","NaN","NaN","NaN"
"NP_001005498.2:s284","RHBDF2 s284","RHBDF2","NaN","NaN","-0.32","NaN","NaN","NaN","-0.79","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","0.76","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.33","NaN","NaN","NaN","NaN","NaN","0.44","NaN","NaN","0.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.73","1.24","-0.57","NaN","-0.39","-0.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.17","-0.84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.49","0.93","0.72","NaN","NaN","NaN","0.89"
"NP_001005498.2:s356","RHBDF2 s356","RHBDF2","0.46","-0.03","-0.19","0.11","-0.78","0.55","-0.2","-0.91","0.11","-0.73","0","0.87","NaN","-0.1","-0.48","-0.97","-0.77","-0.98","0.98","0.18","-0.69","NaN","-0.11","0.71","NaN","-0.09","NaN","0.24","0.12","-0.76","-2.1","0.67","-1.11","0.34","0.08","0.03","-0.32","-0.47","0.35","0.75","0.04","0.54","NaN","0.38","-0.82","0.31","0.35","-0.93","-1.03","NaN","-0.14","-0.36","1.26","0.33","NaN","-1.38","0.37","0.68","-0.62","-0.03","-0.14","-0.48","-0.16","0.28","-0.5","-0.09","0.81","NaN","-0.96","-0.09","-0.28","0.42","-0.79","-0.34","0.32","-1.26","NaN","-0.66","-0.46","0.05","-0.56","-0.26","-0.14","1.6","-0.66","0.73","-0.3"
"NP_001005498.2:s84","RHBDF2 s84","RHBDF2","NaN","NaN","NaN","NaN","NaN","-0.09","NaN","NaN","NaN","-1.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.53","NaN","NaN","NaN","NaN","NaN","NaN","-0.94","-0.87","NaN","NaN","0.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.79","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001005743.1:s438","NUMB s438","NUMB","NaN","0.29","NaN","-0.34","NaN","NaN","-2.5","NaN","NaN","NaN","0.18","-0.61","NaN","-0.63","NaN","0.79","-0.82","NaN","-0.09","NaN","0.19","NaN","NaN","-0.09","NaN","NaN","NaN","-0.62","-0.09","NaN","NaN","NaN","NaN","-0.28","0.25","1.04","NaN","NaN","-0.51","-0.32","NaN","NaN","NaN","0.29","-0.96","NaN","-0.16","NaN","NaN","NaN","NaN","NaN","1.83","0.58","NaN","0.64","0.29","NaN","-0.95","NaN","NaN","NaN","NaN","0.88","-0.65","NaN","NaN","NaN","NaN","NaN","-0.15","NaN","-0.75","NaN","NaN","NaN","NaN","0.04","NaN","1.07","NaN","NaN","NaN","-1.24","-0.42","NaN","0.71"
"NP_001005751.1:s544","WASHC2A s544","WASHC2A","NaN","NaN","-0.1","NaN","NaN","NaN","NaN","-2.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-3.2","-0.52","-0.95","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.37","NaN","NaN","-0.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.42","NaN","NaN","1.32","0.13","-1.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.76","NaN","0.16","NaN","NaN","NaN","NaN","NaN","NaN","1.21","0.62","0.56","NaN","NaN","0.67","NaN"
"NP_001005751.1:s728","WASHC2A s728","WASHC2A","NaN","NaN","NaN","NaN","NaN","0.01","NaN","NaN","NaN","-1.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-2.35","NaN","NaN","NaN","NaN","NaN","NaN","-1.43","-0.42","NaN","NaN","0.97","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001005862.1:s1024","ERBB2 s1024","ERBB2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.44","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.53","-1.14","5.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.68","NaN"
"NP_001005862.1:s1036","ERBB2 s1036","ERBB2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.11","-0.68","2.92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.47","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.68","NaN"
"NP_001005862.1:s968","ERBB2 s968","ERBB2","NaN","NaN","NaN","NaN","NaN","NaN","-0.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.29","NaN","NaN","0.85","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.07","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.12","NaN","-0.97","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.1"
"NP_001006600.1:t485","ERBIN t485","ERBIN","NaN","NaN","NaN","NaN","NaN","0.16","NaN","NaN","NaN","-1.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1","NaN","NaN","NaN","NaN","NaN","NaN","0.23","0.78","NaN","NaN","0.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.44","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001006945.1:s347","RPS6KA4 s347","RPS6KA4","NaN","NaN","NaN","0.24","NaN","NaN","NaN","NaN","NaN","NaN","0.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.36","-0.78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.53","-0.32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001007027.1:s645","ATN1 s645","ATN1","NaN","NaN","NaN","-0.12","NaN","NaN","-0.29","NaN","NaN","NaN","-0.7","NaN","-0.05","NaN","NaN","0.41","NaN","NaN","-0.35","NaN","0.32","-1.09","NaN","-0.88","0.55","NaN","-0.9","-0.44","0.1","NaN","NaN","NaN","NaN","NaN","NaN","-0.26","NaN","NaN","-0.02","0.26","NaN","NaN","-1.54","-0.88","-2.08","NaN","-0.43","NaN","NaN","-0.11","NaN","NaN","0.36","-0.35","0.11","1.07","-0.26","NaN","-0.9","NaN","NaN","NaN","NaN","-1.99","-0.97","NaN","NaN","-1.04","NaN","NaN","-0.75","NaN","NaN","NaN","NaN","NaN","-0.41","-0.53","NaN","-1.14","NaN","NaN","NaN","1.24","NaN","NaN","0.59"
"NP_001007566.1:s197","TFG s197","TFG","0.85","0.51","NaN","0.25","0.97","NaN","-0.24","-0.74","1.22","NaN","0.33","-0.08","NaN","0.51","-1.44","-0.85","1.17","-0.26","-0.21","-0.19","1.25","NaN","1.49","-0.66","NaN","NaN","NaN","0.71","0.63","NaN","-0.95","-0.53","-0.13","1.22","-0.27","-0.12","NaN","NaN","0.75","-0.27","NaN","0.17","NaN","-0.63","-1.97","NaN","0.25","0.62","NaN","NaN","0.35","0.37","1.21","-0.11","NaN","0.74","0.63","NaN","0.11","NaN","NaN","NaN","-1.06","0.39","-0.16","-0.27","1.17","NaN","NaN","-0.37","0.29","NaN","1.05","-0.59","-0.33","1.01","NaN","1","NaN","0.34","NaN","NaN","NaN","1.12","0.37","-0.53","-0.29"
"NP_001008212.1:s342","OPTN s342","OPTN","NaN","NaN","NaN","NaN","NaN","-0.01","NaN","NaN","NaN","-0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.69","NaN","NaN","NaN","NaN","NaN","NaN","-0.65","-0.54","NaN","NaN","0.9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.87","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001008491.1:s218","SEPTIN2 s218","SEPTIN2","0.73","NaN","0.67","-0.98","1.05","-0.21","NaN","-0.76","NaN","0.2","0.06","NaN","NaN","NaN","0.06","NaN","NaN","-0.55","NaN","0.65","0.08","NaN","0.52","-0.84","NaN","NaN","NaN","NaN","-0.29","-0.79","-0.17","0.7","-0.99","NaN","NaN","0.2","-2.08","-0.63","0.39","NaN","0.74","NaN","NaN","-0.39","-0.87","-0.31","-0.74","NaN","-0.24","NaN","NaN","NaN","0.78","-0.28","NaN","0.19","NaN","0.03","NaN","0.19","1.11","0.65","-0.55","0.21","-0.65","-1.99","NaN","NaN","-0.88","0.56","NaN","-1.61","NaN","-1.12","-0.59","NaN","NaN","-0.26","0.84","0.33","-0.09","-0.37","-0.8","0.85","NaN","0.2","NaN"
"NP_001008697.1:s210","TFIP11 s210","TFIP11","NaN","NaN","0.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.09","NaN","NaN","-0.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.44","NaN","NaN","-0.27","0.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.31","0.07","0.35","NaN","NaN","NaN","NaN"
"NP_001008697.1:s59","TFIP11 s59","TFIP11","NaN","NaN","NaN","0.18","NaN","NaN","NaN","NaN","NaN","NaN","-0.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.47","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.77","-2.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.22","0.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001010972.1:s267","ZYX s267","ZYX","NaN","0.62","NaN","NaN","NaN","0.09","-2.45","NaN","NaN","-0.19","NaN","0.12","NaN","-0.15","NaN","-1.09","-0.27","NaN","-0.73","NaN","-0.31","NaN","NaN","NaN","NaN","NaN","NaN","0.27","-0.71","0.4","NaN","NaN","NaN","-0.17","-0.12","NaN","0.24","-0.74","-0.55","0.1","-0.06","NaN","NaN","NaN","NaN","NaN","-0.62","NaN","NaN","NaN","NaN","NaN","1.07","-0.26","NaN","NaN","0.48","NaN","-0.56","1.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.64","NaN","1.18","NaN","-0.44","NaN","NaN","NaN","NaN","0.32","-0.46","-0.05","NaN","NaN","NaN","0.71","-0.49","NaN","-0.73"
"NP_001010972.1:s344","ZYX s344","ZYX","-0.6","-0.55","0.53","0.04","-0.25","-0.1","-2.27","-0.01","-0.14","-0.18","1.27","0.51","-0.5","-1.78","-1.77","-1.32","-0.38","-0.24","-0.99","0.75","-0.18","1.06","-0.43","1.31","-1.12","1.06","-1.01","0.45","-1.36","-2.34","-2.89","0.24","-1.06","-0.37","0.78","0.41","-0.39","0.3","-0.02","-0.14","0.69","0.22","-1.06","0","-3.21","0.06","-0.53","-0.84","0.51","-0.27","0.83","0.02","0.15","-0.59","-0.45","-0.67","0.01","1.01","-1.77","2.29","0.01","-0.38","0.39","0","0.51","0.33","0.01","0.03","-0.87","0.21","1.01","0.18","-0.35","0.62","-0.43","0.95","-0.03","-1.08","-0.55","0.2","-0.95","-0.76","-0.31","-1.05","-0.02","0.18","0.04"
"NP_001013271.1:s49","LSP1 s49","LSP1","NaN","NaN","0.58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.58","NaN","NaN","0.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.21","NaN","NaN","-0.78","0.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.15","-0.43","0.01","NaN","NaN","NaN","NaN"
"NP_001013865.1:s271","SLTM s271","SLTM","NaN","0.35","-0.19","0.02","NaN","-0.33","0.18","0.24","NaN","-0.99","0.02","-0.65","NaN","0.84","NaN","-0.12","0.4","NaN","0.29","NaN","-0.02","NaN","NaN","-0.56","NaN","NaN","NaN","0.62","-0.33","0.59","-0.53","-0.27","0.88","-0.14","-0.21","0.1","0.16","-0.56","0.21","-0.17","-0.15","NaN","NaN","-0.65","-3","-0.57","0.12","NaN","-0.62","NaN","NaN","NaN","0.19","0.26","NaN","0.2","0.72","-0.61","-0.27","0.29","-0.46","-0.07","-1.39","0","-0.3","NaN","NaN","NaN","0.07","NaN","-0.58","0.15","0.03","-0.34","NaN","NaN","NaN","-0.31","0.31","-0.28","-0.67","-0.18","-0.05","0.23","0.9","0.03","0.8"
"NP_001013865.1:s535","SLTM s535","SLTM","NaN","NaN","-0.39","-0.46","NaN","-1.15","NaN","-0.84","NaN","-1.12","-0.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.09","NaN","NaN","0.23","NaN","NaN","NaN","NaN","-1.6","0.22","-0.96","0.35","0.73","NaN","NaN","0.02","-0.91","-0.59","-0.75","NaN","0.28","NaN","NaN","-2.12","-1.52","-0.15","-0.59","NaN","-0.7","NaN","NaN","NaN","-0.27","0.09","NaN","1.33","NaN","-0.36","NaN","-0.03","-0.9","-0.34","-1.02","0.32","-0.34","NaN","NaN","NaN","-0.71","NaN","NaN","0.12","NaN","-1.28","NaN","NaN","NaN","-0.26","0.04","-0.34","-0.3","-0.94","-0.27","-0.76","NaN","-0.14","NaN"
"NP_001014436.1:t291","DBNL t291","DBNL","0.35","0.59","0.46","0.3","0.54","0.37","-1.85","-1.2","-1.11","-1.04","-0.46","-0.47","1.66","-1.43","-0.37","1.18","-0.43","-0.33","1.61","0.32","-0.76","-0.61","-0.08","-1.08","-0.9","0.24","-0.85","0.98","0.02","-0.91","-2.53","0.33","-0.24","-0.09","-0.66","-2.83","-1.69","-0.74","0.43","0.08","0.26","0.65","-0.61","-0.85","-2.56","-0.27","-1.64","-1.56","0.03","0.96","0.16","-0.61","0.29","-0.17","0.65","0.44","0.71","-0.84","-1.53","-0.47","0.73","-0.24","0.13","0.91","-0.13","-0.49","-0.13","-0.4","-0.11","-0.43","-0.01","-0.65","-0.22","-0.1","-0.59","-0.61","1.49","-1.85","-1.17","0.12","-0.42","1","-1.36","-2.02","-0.98","-0.48","1.24"
"NP_001017368.1:s242","RFFL s242","RFFL","NaN","NaN","NaN","-1.49","NaN","NaN","NaN","NaN","NaN","NaN","0.14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.22","-0.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.68","0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_001017963.2:s353","HSP90AA1 s353","HSP90AA1","0","NaN","-1.29","-0.51","0.62","-0.38","-1.19","-0.11","-1.15","-1.64","-1.27","NaN","1.28","NaN","0.22","-0.82","NaN","-0.36","0.51","0.26","0.66","-1.16","-0.09","-2.66","0.58","-0.2","-0.96","-0.07","-0.09","0.69","-2.42","0.64","1.38","NaN","NaN","-0.2","-1.8","-0.08","0.33","-0.4","-0.2","0.51","-0.95","-1.14","-4.03","0.65","-1.26","-0.38","-0.29","-0.22","-1.02","0.56","-0.91","-0.75","-0.67","0.26","0.34","-0.45","-0.79","-1.52","-1.73","-0.54","-1.56","-0.94","-0.17","-0.58","-0.73","-0.59","-1.51","-0.64","-1.37","0.44","NaN","-0.69","0.05","-0.22","0.77","-1.29","-0.39","-0.73","-0.1","-0.77","0.33","0.72","NaN","0.41","-0.03"
"NP_001017963.2:s385","HSP90AA1 s385","HSP90AA1","NaN","NaN","-1.51","-0.09","NaN","-1.39","-0.78","NaN","-1.03","-1.06","-0.88","NaN","NaN","NaN","NaN","-0.81","NaN","NaN","0.7","NaN","NaN","NaN","NaN","-2.61","NaN","-0.26","NaN","0.27","NaN","-0.19","NaN","NaN","NaN","NaN","NaN","-1.17","-1.06","-0.23","NaN","-0.05","-0.11","0.49","NaN","-1.7","-5.66","0.76","NaN","-0.14","-0.17","NaN","-0.54","0.72","NaN","NaN","NaN","0.37","0.78","-0.02","-0.46","-0.67","-1.92","-0.48","NaN","-0.58","-0.2","NaN","-0.65","NaN","-1.27","NaN","-1.31","0.44","NaN","NaN","NaN","-0.26","NaN","NaN","0.02","NaN","-0.08","-0.76","0.5","NaN","NaN","NaN","0.1"
"NP_001019820.1:s554","CANX s554","CANX","NaN","-0.83","1.09","-0.61","NaN","1.05","-1.35","NaN","NaN","-0.61","0.07","-1.69","NaN","-0.36","NaN","1.08","0","NaN","-1.28","NaN","-1.9","NaN","NaN","0.67","NaN","NaN","NaN","-1.37","-1.23","1.31","NaN","NaN","NaN","0","-0.22","0.04","-0.8","-0.7","0.35","-0.84","-0.39","NaN","NaN","0.56","-1.84","-0.41","0.41","NaN","-0.41","NaN","NaN","NaN","1.16","-0.73","NaN","0.2","-0.36","-0.91","-1.18","0.18","0.27","0.52","NaN","-0.47","-0.99","NaN","NaN","NaN","0.6","NaN","0.26","0.13","0.71","NaN","NaN","NaN","NaN","0.69","-1","-0.2","-0.05","1.92","-0.31","0.77","-0.24","NaN","1.27"
"NP_001019820.1:s564","CANX s564","CANX","NaN","-1.01","0.98","-0.34","NaN","1.03","-1.33","NaN","NaN","-0.94","0.43","-1.49","NaN","-0.75","NaN","1.18","0.24","NaN","-0.02","NaN","-0.96","NaN","NaN","0.74","NaN","NaN","NaN","-1.62","-1.61","0.95","NaN","NaN","NaN","0.07","-0.03","0.23","-1.32","-0.33","0.43","-0.59","-0.02","NaN","NaN","0.95","-1.85","-1.28","-0.02","NaN","-1.4","NaN","NaN","NaN","0.81","-0.83","NaN","-0.26","0.16","-1.07","-0.38","0.32","0.19","0.33","NaN","-0.45","-0.87","NaN","NaN","NaN","0.32","NaN","0.46","0.05","0.89","NaN","NaN","NaN","NaN","-0.28","-1.22","-0.09","-0.16","1.61","-0.73","0","-0.66","NaN","1.27"
"NP_001019837.1:s193","SH3KBP1 s193","SH3KBP1","0.44","NaN","NaN","-0.18","0.54","0.25","NaN","NaN","NaN","-0.33","0.19","NaN","NaN","NaN","0.5","NaN","NaN","0.21","NaN","1.56","-1.17","NaN","0.92","-0.49","NaN","NaN","NaN","NaN","-0.45","-3.03","NaN","NaN","NaN","NaN","NaN","-0.47","-0.45","-0.2","0.02","NaN","1.16","NaN","NaN","-0.1","-1.53","NaN","-0.39","NaN","NaN","NaN","NaN","NaN","0.45","-0.35","NaN","-0.62","NaN","NaN","NaN","1.32","NaN","NaN","NaN","0.21","0.03","0.74","NaN","NaN","0.34","0.88","NaN","NaN","NaN","NaN","0.81","NaN","NaN","-1.16","-0.29","-0.13","NaN","NaN","NaN","-0.51","NaN","NaN","NaN"
"NP_001020262.1:s228","ABCF1 s228","ABCF1","0.94","NaN","0.93","0","0.43","-0.51","NaN","-0.73","NaN","-0.67","-0.43","NaN","NaN","NaN","-0.2","NaN","NaN","-0.58","NaN","0.28","NaN","NaN","0.72","-0.84","NaN","NaN","NaN","NaN","NaN","0.81","0.87","-0.21","1","NaN","NaN","0.53","0.19","-0.64","NaN","NaN","-0.34","NaN","NaN","-0.61","-1.82","-0.55","NaN","NaN","-0.63","NaN","NaN","NaN","NaN","NaN","NaN","0.16","NaN","-0.31","NaN","-0.56","0","-0.24","-2.05","-0.47","-0.67","-0.42","NaN","NaN","0.65","-0.41","NaN","0.39","NaN","-0.08","0.52","NaN","NaN","NaN","-0.09","NaN","0.09","0.38","0.3","NaN","NaN","-0.08","NaN"
"NP_001020278.1:s530","ADAR s530","ADAR","NaN","0.48","NaN","NaN","NaN","NaN","0.37","NaN","NaN","NaN","NaN","0.01","NaN","1.15","NaN","-1.53","0.59","NaN","1.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.76","NaN","NaN","NaN","NaN","NaN","1.32","-0.33","NaN","NaN","NaN","NaN","0.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.48","NaN","0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.83","NaN","-0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.91","NaN","-0.01"
"NP_001025053.1:s1476","AHDC1 s1476","AHDC1","NaN","NaN","0.34","NaN","NaN","0.28","-1.42","NaN","NaN","-0.91","NaN","NaN","NaN","NaN","NaN","-0.55","NaN","NaN","0.78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.06","NaN","-0.15","NaN","NaN","NaN","NaN","NaN","NaN","-0.81","0.31","NaN","0.34","0.65","NaN","NaN","NaN","NaN","0.42","NaN","NaN","0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.99","-0.39","-0.72","1.4","0.65","0.03","NaN","NaN","NaN","NaN","NaN","NaN","-0.91","NaN","-0.64","0.77","NaN","NaN","NaN","NaN","NaN","NaN","-0.1","NaN","0.27","-1.22","-0.58","NaN","NaN","NaN","0.68"
